Sl.No.,City Name,Zone name,Name of Heritage,"Name of Heritage (Open Space, Monuments, Street etc..)",Age of Heritage (In years)
1,Ahmedabad,Walled City,Bhadra Fort,Monument,600 Approx
2,Ahmedabad,Walled City,Sidi Saiyed Mosque,Monument,450 Approx
3,Ahmedabad,Walled City,Ahmed Shah's Mosque,Monument,600 Approx
4,Ahmedabad,Walled City,Jama Masjid,Monument,590 Approx
5,Ahmedabad,Walled City,Tombs of Queen of Ahmed Shah,Monument,570 Approx
6,Ahmedabad,Walled City,Ahmed Shah's Tomb,Monument,575 Approx
7,Ahmedabad,Walled City,Queen's Mosque in Sarangpur,Monument,500 Approx
8,Ahmedabad,Walled City,Rani Rupavati's Mosque,Monument,500 Approx
9,Ahmedabad,Walled City,Dastur Khan' s Masjid ,Monument,NA
10,Ahmedabad,Walled City,Rani Sipri's Mosque & Tomb,Monument,508 Approx
11,Ahmedabad,Walled City,Amritvarshini Vav,Monument,300 Approx
12,Ahmedabad,Walled City,Calico Museum,Monument,400 Approx
13,Ahmedabad,Walled City,Dada hari ni Vav,Monument,350 Approx
14,Ahmedabad,Walled City,Ahmedabad ni Gufa,Monument,400 Approx
15,Ahmedabad,Walled City,Baba ManeknathnTemple,Monument,400 Approx
16,Ahmedabad,Walled City,Tankshal ni Haveli,Monument,350 Approx
17,Ahmedabad,Walled City,Chetna Haveli,Monument,450 Approx
18,Ahmedabad,Walled City,Dwarkadheesh Mandir,Monument,500 Approx
19,Ahmedabad,Walled City,Hatkeshwar Mahadev Mandir,Monument,500 Approx
20,Ahmedabad,Walled City,French Haveli,Monument,150 Approx
21,Ahmedabad,Walled City,Diwanji Ni Haveli,Monument,100 Approx
22,Ahmedabad,Walled City,"Shri Jivkor Somnath Rupjivan Das Girls' Higher Secondary School; Vanita Vishram Girls
School",Monument,100 Approx
23,Ahmedabad,Walled City,Fernandes Bridge,Monument,300 Approx
24,Ahmedabad,Walled City,Khadaita Bhuvan,Monument,350 Approx
25,Ahmedabad,Walled City,Ahmadabad Electricity Company (AEC) - Electricity House,Monument,150 Approx
26,Ahmedabad,Walled City,C.N.I Church,Monument,200 Approx
27,Ahmedabad,Walled City,Kalupur Tower/ Nanamiya Hava Tower,Monument,250 Approx
28,Ahmedabad,Walled City,Dariyapur Clock Tower,Monument,150 Approx
29,Ahmedabad,Walled City,Shah Kutbuddin's Roza,Monument,350 Approx
30,Ahmedabad,Walled City,Ahmadabad Municipal Corporation; Sardar Patel Bhavan,Monument,150 Approx
31,Ahmedabad,Walled City,Ahmedabad Stock Exchange (Ahmadabad Share and Stock Brokers' Association),Monument,110 Approx
32,Ahmedabad,Walled City,Maneknath Samadhi Sthal,Monument,560 Approx
33,Ahmedabad,Walled City,Manekchowk Fruit/ Vegetable Market,Monument,100 Approx
34,Ahmedabad,Walled City,Khanjahan  Masjid,Monument,250 Approx
35,Ahmedabad,Walled City,Parsi Agiyari,Monument,200 Approx
36,Ahmedabad,Walled City,Magen Abraham Synagogue,Monument,120 Approx
37,Ahmedabad,Walled City,Telegraph Office,Monument,100 Approx
38,Ahmedabad,Walled City,Khanjahan Baba Ki Dargah,Monument,280 Approx
39,Ahmedabad,Walled City,Sardar Vallabh Bhai Smarak,Monument,100 Approx
40,Ahmedabad,Walled City,Azam Khan's palace (Serai) ,Monument,300 Approx
41,Ahmedabad,Walled City,Teen Darwaja ,Monument,250 Approx
42,Ahmedabad,Walled City,Panch Kuwa Gate ,Monument,250 Approx
43,Ahmedabad,Walled City,Delhi Gate,Monument,250 Approx
44,Ahmedabad,Walled City,Kalupur Gate,Monument,250 Approx
45,Ahmedabad,Walled City,Sarangpur Gate,Monument,250 Approx
46,Ahmedabad,Walled City,Dariyapur Gate,Monument,250 Approx
47,Ahmedabad,Walled City,Prembhai Gate,Monument,150 Approx
48,Ahmedabad,Walled City,Astodia Gate ,Monument,250 Approx
49,Ahmedabad,Walled City,Khanpur Gate,Monument,250 Approx
50,Ahmedabad,Walled City,Khanjahan Darwaja- Inner Gate,Monument,250 Approx
51,Ahmedabad,Walled City,Raipur Gate ,Monument,250 Approx
52,Ahmedabad,Walled City,Raikhad Darwaja,Monument,250 Approx
53,Ahmedabad,Walled City,Jamalpur Gate,Monument,250 Approx
54,Ahmedabad,Walled City,Gujarat Vernacular Society - Himabhai Institute,Monument,100 Approx
55,Ahmedabad,Walled City,Majoor Mahajan Sangh,Monument,120 Approx
56,Ahmedabad,Walled City,Sardar Vallabhbhai Smriti Trust,Monument,100 Approx
57,Ahmedabad,Walled City,G.V. Mavlankar Haveli,Monument,350 Approx
58,Ahmedabad,Walled City,Gujarat Club,Monument,100 Approx
59,Ahmedabad,Walled City,Premabhai Hall,Monument,150 Approx
60,Ahmedabad,Walled City,Ashtapadji Derasar,Monument,200 Approx
61,Ahmedabad,Walled City,Calico Dome,Monument,80 Approx
62,Ahmedabad,Walled City,Shri Kala Ramji mandir,Monument,230 Approx
63,Ahmedabad,Walled City,Swaminarayana Temple,Monument,300 Approx
64,Ahmedabad,Walled City,Jyoti Sangh,Monument,120 Approx
65,Ahmedabad,Walled City,Sidi Bashir Mosque (Jhuta Minara),Monument,500 Approx
66,Ahmedabad,Walled City,Raipur Chakla,Open Space,NA
67,Ahmedabad,Walled City,Kavi Dalpatram Chowk,Open Space,NA
68,Ahmedabad,Walled City,Akhabhagat Chowk,Open Space,NA
69,Ahmedabad,Walled City,Victoria park/ Lokmanya Tilak Baugh,Open Space,NA
70,Ahmedabad,Walled City,CNI Church & I.P Mission high school Precinct,Street,NA
71,Ahmedabad,Walled City,Mahurat pol,Street,600 Approx
72,Ahmedabad,Walled City,Desai ni pol,Street,600 Approx
73,Ahmedabad,Walled City,Lakha Patel ni pol,Street,600 Approx
74,Ahmedabad,Walled City,Bauva ni pol,Street,600 Approx
75,Ahmedabad,Walled City,Parabdi ni pol,Street,600 Approx
76,Ahmedabad,Walled City,Sankdi Sheri,Street,600 Approx
77,Ahmedabad,Walled City,Chippa pol,Street,600 Approx
78,Ahmedabad,Walled City,Panchbhai ni pol,Street,600 Approx
79,Ahmedabad,Walled City,Doshiwada ni pol,Street,600 Approx
80,Ahmedabad,Walled City,Shantinath ni pol,Street,600 Approx
81,Ahmedabad,Walled City,Lambeshwar ni pol,Street,600 Approx
82,Ahmedabad,Walled City,Raja mehta ni pol,Street,600 Approx
83,Ahmedabad,Walled City,Zaveri pol,Street,600 Approx
84,Ahmedabad,Walled City,Chippa pol,Street,600 Approx
85,Ahmedabad,Walled City,Jeshingbhai ni vadi,Street,600 Approx
86,Ahmedabad,Walled City,Moti Hamam ni pol,Street,600 Approx
87,Ahmedabad,Walled City,Jada Bhagat ni Pol,Street,600 Approx
88,Ahmedabad,Walled City,Dhal ni Pol,Street,600 Approx
