name,city,state,address,latitude,longitude
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Bastion, where a wall of Jahan panah meets the wall of Rai Pithora fort.",Adchini,,"Bastion, where a wall of Jahan panah meets the wall of Rai Pithora fort., Adchini",,
Ramp and gateway of Rai Pithora's Fort,Adchini,,"Ramp and gateway of Rai Pithora's Fort, Adchini",,
Marble Tomb reputed to be that of Newab BahadurJawid Khan,Aliganj,,"Marble Tomb reputed to be that of Newab BahadurJawid Khan, Aliganj",,
Lal Bangla,Babarpur(Kaka Nagar),,"Lal Bangla, Babarpur(Kaka Nagar)",,
Khair-ul-Manzil,Babarpur Bazipur( Kakanagar),,"Khair-ul-Manzil, Babarpur Bazipur( Kakanagar)",,
Kos Minar or Mughal Mile stone,Babarpur Bazipur( Kakanagar),,"Kos Minar or Mughal Mile stone, Babarpur Bazipur( Kakanagar)",,
"The Moti Gate of Shershah, Delhi",Babarpur Bazipur( Kakanagar),,"The Moti Gate of Shershah, Delhi, Babarpur Bazipur( Kakanagar)",,
Begampuri Masjid,Begampur,,"Begampuri Masjid, Begampur",,
Phool Chadar aquduct near Najafgarh Jhil aquduct,Chaukri Mubarakabad,,"Phool Chadar aquduct near Najafgarh Jhil aquduct, Chaukri Mubarakabad",,
Lal Gumbad,Chirag Delhi,,"Lal Gumbad, Chirag Delhi",,
Tomb of Bahlol Lodi,Chirag Delhi,,"Tomb of Bahlol Lodi, Chirag Delhi",,
Ajmeri Gate,Bazar Ajmeri Gate,,"Ajmeri Gate, Bazar Ajmeri Gate",,
Alipur Cemetery,Delhi-Alipur Camping group.,,"Alipur Cemetery, Delhi-Alipur Camping group.",,
Ashoka'a pillar,Ferozabad(Ferozshah Kila or Vikram Nagar Colony),,"Ashoka'a pillar, Ferozabad(Ferozshah Kila or Vikram Nagar Colony)",,
Bara Khamba Cemetry,Imperial City,,"Bara Khamba Cemetry, Imperial City",,
Chauburji,Ridge near Hindura Hospital,,"Chauburji, Ridge near Hindura Hospital",,
Eremo Cementry,Kishanaganj Railway Stn.,,"Eremo Cementry, Kishanaganj Railway Stn.",,
"Delhi fort or Lal Qila, Naubat Khana, Diwan-i-am, Mumtaz Mahal' Rang Mahal, Baithak,Maseu Burj, diwan-i-Khas' Moti Masjid, sawan Bhadon ,Shah Burj, Hammam with all surrounding including the gardens, paths, terraces and water courses.",Red fort,,"Delhi fort or Lal Qila, Naubat Khana, Diwan-i-am, Mumtaz Mahal' Rang Mahal, Baithak,Maseu Burj, diwan-i-Khas' Moti Masjid, sawan Bhadon ,Shah Burj, Hammam with all surrounding including the gardens, paths, terraces and water courses., Red fort",,
Delhi Gate,Daryaganj,,"Delhi Gate, Daryaganj",,
"Enclosure containing the grave of Lt. Edwards and others, murdered in 1857.","North Ridge near flag Staff tower, Civil Lines.",,"Enclosure containing the grave of Lt. Edwards and others, murdered in 1857., North Ridge near flag Staff tower, Civil Lines.",,
Enclosure wall with Tomb of Najaf Khan,Safdarjang Fly over,,"Enclosure wall with Tomb of Najaf Khan, Safdarjang Fly over",,
Flag Staff Tower,400 yards North of Cheuburji Mosque,,"Flag Staff Tower, 400 yards North of Cheuburji Mosque",,
Jantar Mantar,Connaught place,,"Jantar Mantar, Connaught place",28.6271791,77.2166166
Kashmeri Gate and portion of the City Wall on either side of the Kashmeri Gate on the side and on the other upto andiincluding the water Bastions at the Northern corner of the wall and also including the dith outside the City wall where this is exposed,Kashmeri Gate,,"Kashmeri Gate and portion of the City Wall on either side of the Kashmeri Gate on the side and on the other upto andiincluding the water Bastions at the Northern corner of the wall and also including the dith outside the City wall where this is exposed, Kashmeri Gate",,
"Kotla Ferozabad with the remaining walls, bastions and gateways and gardens, the old Mosque, and well and all other ruins buildings it contains.","Two furlangs east of jail and three furlangs due south of S.E. Corner of Shahjahanabad, Delhi.",,"Kotla Ferozabad with the remaining walls, bastions and gateways and gardens, the old Mosque, and well and all other ruins buildings it contains., Two furlangs east of jail and three furlangs due south of S.E. Corner of Shahjahanabad, Delhi.",,
"Lal Darwaza, the northern gate of the outer walls of the Delhi of Shershah.","Three furlang due south of Delhi Gate,",,"Lal Darwaza, the northern gate of the outer walls of the Delhi of Shershah., Three furlang due south of Delhi Gate,",,
Lothian Road Cemetery,Kashmeri Gate,,"Lothian Road Cemetery, Kashmeri Gate",,
The Mosque,Qudsia Garden,,"The Mosque, Qudsia Garden",,
Mutiny telegraph Memorial,"In front of Old Telegraph Building, Kashmeri Gate,",,"Mutiny telegraph Memorial, In front of Old Telegraph Building, Kashmeri Gate,",,
Nicholson (Or Kashmeri Gate) Cemetery,Kashmeri Gate,,"Nicholson (Or Kashmeri Gate) Cemetery, Kashmeri Gate",,
Nicholson statue and its platform and the surrounding gardens paths and enclosure wall.,Outside Kashmeri Gate,,"Nicholson statue and its platform and the surrounding gardens paths and enclosure wall., Outside Kashmeri Gate",,
Old Baoli immediately to the west of Hindu Rao's House.,"On the ridge, Delhi",,"Old Baoli immediately to the west of Hindu Rao's House., On the ridge, Delhi",,
The Old Entrance Gateway of the Garden.,Qudsia Delhi,,"The Old Entrance Gateway of the Garden., Qudsia Delhi",,
The Pirghaib to the north and near Hindu Rao's House,"On the ridge , Delhi",,"The Pirghaib to the north and near Hindu Rao's House, On the ridge , Delhi",,
"Portion of City wall near which Brij Jahn Nicholson was mortally Wounded on 14th Sept. , 1857","On the ridge , Delhi",,"Portion of City wall near which Brij Jahn Nicholson was mortally Wounded on 14th Sept. , 1857, On the ridge , Delhi",,
The Punjabi gate in the Roshanara bagh,"Opposite Municipal Board school, Subji Mandi",,"The Punjabi gate in the Roshanara bagh, Opposite Municipal Board school, Subji Mandi",,
"Purana Quila (Inderpat) or Delhi With all its walls Arcades, gateways and Bastions, gardens, the Mosque of Sher Shah (Kila Kohna Masjid). The Sher Mandala and entrances to Subteranean passages.","Two miles south of the Delhi Gate of Shahjahanabad, Delhi",,"Purana Quila (Inderpat) or Delhi With all its walls Arcades, gateways and Bastions, gardens, the Mosque of Sher Shah (Kila Kohna Masjid). The Sher Mandala and entrances to Subteranean passages., Two miles south of the Delhi Gate of Shahjahanabad, Delhi",,
Rajpur (Mutiny cemetery),"Old Rajpur Cantonment, North Distt.",,"Rajpur (Mutiny cemetery), Old Rajpur Cantonment, North Distt.",,
The remaining gateways of the old Magazira with their adjoining buildings,"The post office , Delhi",,"The remaining gateways of the old Magazira with their adjoining buildings, The post office , Delhi",,
Sher shah's gate with the adjoinining curon walls and Bastions and the remains of the double line of structure to its front,Opposite purana Qila immediately North-east of the Khairul Manazil Mosque,,"Sher shah's gate with the adjoinining curon walls and Bastions and the remains of the double line of structure to its front, Opposite purana Qila immediately North-east of the Khairul Manazil Mosque",,
"Site of Siege battery Known as the Sammy House Battery bearing the following Inscriptions Battery , Sammy house, Major Remington Tank, RA Commanding armament 89 pounds. To command ground near Mori Bastion.",300 Yards East of mutiny memorial,,"Site of Siege battery Known as the Sammy House Battery bearing the following Inscriptions Battery , Sammy house, Major Remington Tank, RA Commanding armament 89 pounds. To command ground near Mori Bastion., 300 Yards East of mutiny memorial",,
Site of siege Battery with inscription.,East of the Hospital in police Line,,"Site of siege Battery with inscription., East of the Hospital in police Line",,
Site of siege Battery with inscription,Compound of House No. 7 Court Road,,"Site of siege Battery with inscription, Compound of House No. 7 Court Road",,
Site of siege Battery with inscription.,Compound of Curzon House,,"Site of siege Battery with inscription., Compound of Curzon House",,
Site of siege Battery with inscription,In the garden near south west entrance to Delhi Club Ground,,"Site of siege Battery with inscription, In the garden near south west entrance to Delhi Club Ground",,
Sunehri Masjid near Delhi Fort,Delhi Fort,,"Sunehri Masjid near Delhi Fort, Delhi Fort",,
Tomb of Capt. Mac. Barnatt & others who fall in an attack on Kishanganj,Kishan Ganj,,"Tomb of Capt. Mac. Barnatt & others who fall in an attack on Kishanganj, Kishan Ganj",,
"Tomb of Ghiasuddin Khan,",Tughlaqabad,,"Tomb of Ghiasuddin Khan,, Tughlaqabad",,
Tomb of Roshanara & Baradari,Sabzi Mandi,,"Tomb of Roshanara & Baradari, Sabzi Mandi",,
Tomb of Razia Begum in Mohalla Bulbuli Khana,Shahjahanabad,,"Tomb of Razia Begum in Mohalla Bulbuli Khana, Shahjahanabad",,
"Tomb of Safdarjang (Mirza Muqim Mansur Ali Khan) with all the enclosure walls, gateways, gardens and the mosque on the eastern side of the garden.","Lodhi Road, New Delhi",,"Tomb of Safdarjang (Mirza Muqim Mansur Ali Khan) with all the enclosure walls, gateways, gardens and the mosque on the eastern side of the garden., Lodhi Road, New Delhi",,
Tripolia Gateways,Delhi-Karnal Road,,"Tripolia Gateways, Delhi-Karnal Road",,
Uggar Sain's Baoli,Near Jantar Mantar,,"Uggar Sain's Baoli, Near Jantar Mantar",,
Tomb of Darya Khan,Kidwai Nagar East,,"Tomb of Darya Khan, Kidwai Nagar East",,
Baoli at Ghiaspur,Nizamuddin,,"Baoli at Ghiaspur, Nizamuddin",,
"Tomb of Mirza Muzaffer, Chota Batasha No. 153, Ghiaspur",Nizamuddin,,"Tomb of Mirza Muzaffer, Chota Batasha No. 153, Ghiaspur, Nizamuddin",,
"Tomb of Amir Khusro, Ghiaspur",Nizamuddin,,"Tomb of Amir Khusro, Ghiaspur, Nizamuddin",,
"Tomb of Mirza Muzaffer, Bara Batasha No. 151 Ghiaspur",Nizamuddin,,"Tomb of Mirza Muzaffer, Bara Batasha No. 151 Ghiaspur, Nizamuddin",,
"Tomb of Nizamuddin Aulia, Ghiaspur No. 197",Nizamuddin,,"Tomb of Nizamuddin Aulia, Ghiaspur No. 197, Nizamuddin",,
Unknown tomb Ghiaspur 153,Nizamuddin,,"Unknown tomb Ghiaspur 153, Nizamuddin",,
"i. The tomb of Ferozshah ii. Domed Building to the west of No.1 iii. Dalan between 1&2 iv. Domed Building & its court to the south of No. 3, v. Dalans and all ruined Buildings to the north of no. 1 and existing upto No.10 vi. Five Chhatris to the case of No. 1& No.5 vii. Old Gate to the north of No.6 viii. Three Chhatris to the north-west of No.7, ix. Ruined courtyard and its Dalans with the Domed building to the north-west to the No.8, x. Old wall running east from No.4 xi. 2.23 Acres of land surrounding the above monuments and bouded on the North by house of Chhange and Mehra Chand sons of Hansram and house of Uderam, son of Kusha South Ghairmunkan Resta East By village site belonging to village community house of Nots Zadar sons of Jai Singh Chhamar and field Nos. 338 & 331 belonging to Naider and others West By field no. 185 belonging to Udaram, son of Kusal Jat and field No. 186 belonging to Jagins and Sajawal Rajput, No. 195 Ghairmunkin Johar, common of Jats and Musalmans and filed no. 196, Ghairmunkin Pall",Hauz Khas,,"i. The tomb of Ferozshah ii. Domed Building to the west of No.1 iii. Dalan between 1&2 iv. Domed Building & its court to the south of No. 3, v. Dalans and all ruined Buildings to the north of no. 1 and existing upto No.10 vi. Five Chhatris to the case of No. 1& No.5 vii. Old Gate to the north of No.6 viii. Three Chhatris to the north-west of No.7, ix. Ruined courtyard and its Dalans with the Domed building to the north-west to the No.8, x. Old wall running east from No.4 xi. 2.23 Acres of land surrounding the above monuments and bouded on the North by house of Chhange and Mehra Chand sons of Hansram and house of Uderam, son of Kusha South Ghairmunkan Resta East By village site belonging to village community house of Nots Zadar sons of Jai Singh Chhamar and field Nos. 338 & 331 belonging to Naider and others West By field no. 185 belonging to Udaram, son of Kusal Jat and field No. 186 belonging to Jagins and Sajawal Rajput, No. 195 Ghairmunkin Johar, common of Jats and Musalmans and filed no. 196, Ghairmunkin Pall, Hauz Khas",,
Bag-i-Alam Gumbad with a Mosque,Humayunpur,,"Bag-i-Alam Gumbad with a Mosque, Humayunpur",,
Kali Gumti,Humayunpur (Hauz Khas),,"Kali Gumti, Humayunpur (Hauz Khas)",,
Tefewala Gumbad,Humayunpur Deer Park (Hauz Khas),,"Tefewala Gumbad, Humayunpur Deer Park (Hauz Khas)",,
Arab Sarai,"Patti, Ghiapur in Hauz Inderpat",,"Arab Sarai, Patti, Ghiapur in Hauz Inderpat",,
The Gate way of Arab Sarai facing North towards Purana Qila,Near Arab Sarai Village,,"The Gate way of Arab Sarai facing North towards Purana Qila, Near Arab Sarai Village",,
The Gate way of Arab Sarai facing East towards the tomb of Humayun,Near Arab Sarai Village,,"The Gate way of Arab Sarai facing East towards the tomb of Humayun, Near Arab Sarai Village",,
Remainig Gateways of Arab Sarai and of Abadi-Bagh-Buhalima,Near Arab Sarai Village,,"Remainig Gateways of Arab Sarai and of Abadi-Bagh-Buhalima, Near Arab Sarai Village",,
Lakhar wal Gumbad (Tomb),"Inderpat Estate (Sunder Nursery), Near Delhi Public School, Mathura Road, Nizamuddin",,"Lakhar wal Gumbad (Tomb), Inderpat Estate (Sunder Nursery), Near Delhi Public School, Mathura Road, Nizamuddin",,
Sunderwala Burj,Inderpat Estate (Sunder Nursery),,"Sunderwala Burj, Inderpat Estate (Sunder Nursery)",,
Sunderwala Mahal,Inderpat Estate (Sunder Nursery),,"Sunderwala Mahal, Inderpat Estate (Sunder Nursery)",,
"Bijay Mandal, neighbouring domes, buildings and dalan to north of Begumpur",In village Kalusarai (Sarvapriya Vihar),,"Bijay Mandal, neighbouring domes, buildings and dalan to north of Begumpur, In village Kalusarai (Sarvapriya Vihar)",,
Old Lodi Bridge with approaches,"Near tomb of Sikander Lodi, Khairpur",,"Old Lodi Bridge with approaches, Near tomb of Sikander Lodi, Khairpur",,
Mosque with the dalans and courtyard and the Bara Gumbaj (the domed entracne to the mosque),Khairpur,,"Mosque with the dalans and courtyard and the Bara Gumbaj (the domed entracne to the mosque), Khairpur",,
The tomb of Mohammed Shah known as Mubarak Khan- Ka-Gumbaz,Khairpur,,"The tomb of Mohammed Shah known as Mubarak Khan- Ka-Gumbaz, Khairpur",,
"Tomb of Sikander Lodi with its enclosure wall and bastions, gates & compound",Khairpur,,"Tomb of Sikander Lodi with its enclosure wall and bastions, gates & compound, Khairpur",,
Unknown tomb with blue tiles decoration known as Shisha Gumbad,Khairpur,,"Unknown tomb with blue tiles decoration known as Shisha Gumbad, Khairpur",,
Bandi or Poti ka Gumbad III-280,Kharera village between Hauz Khas and Qutab road,,"Bandi or Poti ka Gumbad III-280, Kharera village between Hauz Khas and Qutab road",,
Biran-Ka-Gumbad-282,Kharera village between Hauz Khas and Qutab road,,"Biran-Ka-Gumbad-282, Kharera village between Hauz Khas and Qutab road",,
Biwi or Dadi-ka-Gumbad-281,Kharera village between Hauz Khas and Qutab road,,"Biwi or Dadi-ka-Gumbad-281, Kharera village between Hauz Khas and Qutab road",,
Chor Minar No. 289 Vol III,Kharehra (Hauz Khas Enclave),,"Chor Minar No. 289 Vol III, Kharehra (Hauz Khas Enclave)",,
Choti Gunti,Kharehra village Green Park,,"Choti Gunti, Kharehra village Green Park",,
"Idgah of Kharehra No. 287, Vol III","Kharehra village, Hauz Khas Enclave",,"Idgah of Kharehra No. 287, Vol III, Kharehra village, Hauz Khas Enclave",,
Nili Mosque,"Kharehra village, Hauz Khas Enclave",,"Nili Mosque, Kharehra village, Hauz Khas Enclave",,
Sakri Gumti-284,Kharehra village Green Park,,"Sakri Gumti-284, Kharehra village Green Park",,
Khirkee Masjid,Village Khirkee,,"Khirkee Masjid, Village Khirkee",,
Satpula-III 216,Village Khirkee,,"Satpula-III 216, Village Khirkee",,
Tomb of Usuf-Quttal,"At Khirkee in field no.81 min, Property of Shamlat deh",,"Tomb of Usuf-Quttal, At Khirkee in field no.81 min, Property of Shamlat deh",,
Jahaz Mahal,Mehrauli,,"Jahaz Mahal, Mehrauli",28.5144248,77.1786639
Shamsid Tallab together with platform entrance gates.,Mehrauli,,"Shamsid Tallab together with platform entrance gates., Mehrauli",,
Moti Masjid,Mehrauli,,"Moti Masjid, Mehrauli",28.519159,77.1801273
Old Palace of Bahadur Shah II alias Lal Mahal in Mehrauli,Mehrauli,,"Old Palace of Bahadur Shah II alias Lal Mahal in Mehrauli, Mehrauli",,
Bara Khamba-285,"Kherera village tombs between Hauz Khas, Qutab raod",,"Bara Khamba-285, Kherera village tombs between Hauz Khas, Qutab raod",,
"The Qutab Archaeological area as now fenced in, including the Mosque, Iron Pillar, Minar of Qutab-din, unfinished Minar, all colonnads, screen arches, tomb of Altmash, college, buildings of Aluddin, Tomb of Imam Zamin and all carved stoens in the above area with gardens, paths and water channels, and all gateways including the Alai-Darwaza , also all graves in the above area",Mehrauli,,"The Qutab Archaeological area as now fenced in, including the Mosque, Iron Pillar, Minar of Qutab-din, unfinished Minar, all colonnads, screen arches, tomb of Altmash, college, buildings of Aluddin, Tomb of Imam Zamin and all carved stoens in the above area with gardens, paths and water channels, and all gateways including the Alai-Darwaza , also all graves in the above area, Mehrauli",,
Tomb of Adam Khan (Rest House),Mehrauli,,"Tomb of Adam Khan (Rest House), Mehrauli",,
Tomb and Mosque of Maulana Jamali Kamali,Mehrauli,,"Tomb and Mosque of Maulana Jamali Kamali, Mehrauli",,
Wall mosque,Mehrauli,,"Wall mosque, Mehrauli",,
Walls of Lal Kot and Rai Pithora's fort from Sohan Gate to Adam Khan's tomb including the ditch where there is an outer wall,"Mehrauli Kh. No. 1783, 1765, 1766, 1767, 1770, 1772, 1773, 1798 & 1764",,"Walls of Lal Kot and Rai Pithora's fort from Sohan Gate to Adam Khan's tomb including the ditch where there is an outer wall, Mehrauli Kh. No. 1783, 1765, 1766, 1767, 1770, 1772, 1773, 1798 & 1764",,
Walls of Lal Kot and Rai Pithora's fort at the point where they meet together,"Near Jamali Kamali's Mosque Mehrauli Kh. No. 1754, Loddho Sarai Kh.No. 86,87",,"Walls of Lal Kot and Rai Pithora's fort at the point where they meet together, Near Jamali Kamali's Mosque Mehrauli Kh. No. 1754, Loddho Sarai Kh.No. 86,87",,
Wall of Rai Pithora's fort including gateways and bastions,Mehrauli,,"Wall of Rai Pithora's fort including gateways and bastions, Mehrauli",,
"Gates and walls of Mubarakpur, Kotla in village Mubarakpur","village Mubarakpur, Kotla",,"Gates and walls of Mubarakpur, Kotla in village Mubarakpur, village Mubarakpur, Kotla",,
Moti-ki-Masjid,Behind south externsion Part II.,,"Moti-ki-Masjid, Behind south externsion Part II.",,
Inchla Wali Gunti,"village Mubarakpur, Kotla",,"Inchla Wali Gunti, village Mubarakpur, Kotla",,
Kala Gumbad,"village Mubarakpur, Kotla",,"Kala Gumbad, village Mubarakpur, Kotla",,
"Tombs of Bade-Khan, and Mubarakpur Kotla, Kotla","village Mubarakpur, Kotla",,"Tombs of Bade-Khan, and Mubarakpur Kotla, Kotla, village Mubarakpur, Kotla",,
"Tombs of Chote Khan, Mubarakpur",Kotla,,"Tombs of Chote Khan, Mubarakpur, Kotla",,
"Tomb of Mubarik in Mubarakpur, Kotla","village Mubarakpur, Kotla",,"Tomb of Mubarik in Mubarakpur, Kotla, village Mubarakpur, Kotla",,
Mosque attached to Mubarak shah Tomb,"village Mubarakpur, Kotla",,"Mosque attached to Mubarak shah Tomb, village Mubarakpur, Kotla",,
Tomb of Bhura Khan,"village Mubarakpur, Kotla",,"Tomb of Bhura Khan, village Mubarakpur, Kotla",,
Tin Burji Walla Gumbad,"Mohammed pur village II, 304",,"Tin Burji Walla Gumbad, Mohammed pur village II, 304",,
Unnamed tomb,"Mohammed pur village , 305",,"Unnamed tomb, Mohammed pur village , 305",,
Baoli,Munika II. 318.,,"Baoli, Munika II. 318.",,
Munda Gumbad,Munika 302.,,"Munda Gumbad, Munika 302.",,
Unnamed Mosque,Munika 314.,,"Unnamed Mosque, Munika 314.",,
Unnamed Tomb,Munika 313.,,"Unnamed Tomb, Munika 313.",,
Unnamed Tomb,Munika 315.,,"Unnamed Tomb, Munika 315.",,
Unnamed Tomb,Munika 316.,,"Unnamed Tomb, Munika 316.",,
Unnamed Tomb,Munika 317.,,"Unnamed Tomb, Munika 317.",,
"i. Unnamed Mosque, ii. Unnamed Tomb",Munika 321& Munika 322,,"i. Unnamed Mosque, ii. Unnamed Tomb, Munika 321& Munika 322",,
Wajir pur- ki-Gumbad,Munika 312.,,"Wajir pur- ki-Gumbad, Munika 312.",,
The Afsah-walla-ki-Masjid situated outside the west gate of Humayun's tomb with its dalans and paved court bounded on the east by Humayun's tomb on the west by Abadi Arab Sarai on the north by road and Khasra No. 252 and on the south by Abadi Arab Sarai,Nizammudin,,"The Afsah-walla-ki-Masjid situated outside the west gate of Humayun's tomb with its dalans and paved court bounded on the east by Humayun's tomb on the west by Abadi Arab Sarai on the north by road and Khasra No. 252 and on the south by Abadi Arab Sarai, Nizammudin",,
Bara Khamba outside north entrance to shrine,Nizammudin,,"Bara Khamba outside north entrance to shrine, Nizammudin",,
Bara Pulah bridge near Nizammudin,South of Nizammudin,,"Bara Pulah bridge near Nizammudin, South of Nizammudin",,
Chausath Khamba and tomb of Mirza Nizammudin Aziz-ka-Kokaltash,Nizammudin,,"Chausath Khamba and tomb of Mirza Nizammudin Aziz-ka-Kokaltash, Nizammudin",,
Grave of Jahanara Begum,Nizammudin,,"Grave of Jahanara Begum, Nizammudin",,
Grave of Mohammed Shah,Nizammudin,,"Grave of Mohammed Shah, Nizammudin",,
Grave of Mirza Jahangir,Nizammudin,,"Grave of Mirza Jahangir, Nizammudin",,
"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No. 248 & 249 of Sayyed Mohummad",Nizammudin,,"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No. 248 & 249 of Sayyed Mohummad, Nizammudin",,
"Nila Gumbad outside the south corner of the enclosure of Humayun's tomb (Kh. No. 243) bounded on the east by Kh. No. 182, on the west by Humayun's tomb, on the north by Kh. No. 181 & on the south by Kh. No. 244 of Miri Singh",Nizammudin,,"Nila Gumbad outside the south corner of the enclosure of Humayun's tomb (Kh. No. 243) bounded on the east by Kh. No. 182, on the west by Humayun's tomb, on the north by Kh. No. 181 & on the south by Kh. No. 244 of Miri Singh, Nizammudin",,
Nili Chhatri or Subz Burz .,Nizammudin East,,"Nili Chhatri or Subz Burz ., Nizammudin East",,
Tomb of Afsar-wala immediately near to the south of Afsar-wala-ki-Masjid,Nizammudin,,"Tomb of Afsar-wala immediately near to the south of Afsar-wala-ki-Masjid, Nizammudin",,
Tomb of Atgah Khan,Nizammudin,,"Tomb of Atgah Khan, Nizammudin",,
