name,city,state,address,latitude,longitude
Lalji Temple,Bishnupur,,"Lalji Temple, Bishnupur",,
Madan Gopal Temple,Bishnupur,,"Madan Gopal Temple, Bishnupur",,
Madan Mohan Temple,Bishnupur,,"Madan Mohan Temple, Bishnupur",,
Malleswar Temple,Bishnupur,,"Malleswar Temple, Bishnupur",,
Murali Mohan Temple,Bishnupur,,"Murali Mohan Temple, Bishnupur",,
Nanda Lal Temple,Bishnupur,,"Nanda Lal Temple, Bishnupur",,
Patpur Temple,Bishnupur,,"Patpur Temple, Bishnupur",,
Radha Vinod Temple,Bishnupur,,"Radha Vinod Temple, Bishnupur",,
Radha Govinda Temple,Bishnupur,,"Radha Govinda Temple, Bishnupur",,
Radha Madhav Temple,Bishnupur,,"Radha Madhav Temple, Bishnupur",,
Radha Shyam Temple,Bishnupur,,"Radha Shyam Temple, Bishnupur",,
Rasmancha,Bishnupur,,"Rasmancha, Bishnupur",23.068203,87.3221209
Shyam Rai Temple,Bishnupur,,"Shyam Rai Temple, Bishnupur",,
Small Gateway of Fort,Bishnupur,,"Small Gateway of Fort, Bishnupur",,
Stone Chariot,Bishnupur,,"Stone Chariot, Bishnupur",23.0754039,87.326063
Saileswar Temple,Dihar,,"Saileswar Temple, Dihar",,
Sareswar Temple,Dihar,,"Sareswar Temple, Dihar",,
Temple of Radha Damodar Jiw,Ghutgeria,,"Temple of Radha Damodar Jiw, Ghutgeria",,
Gokul Chand Temple,Gokulnagar,,"Gokul Chand Temple, Gokulnagar",,
Temple of Ratneswar,Jagannath pur,,"Temple of Ratneswar, Jagannath pur",,
Temple of Shyam Sunder,Madanpur,,"Temple of Shyam Sunder, Madanpur",,
Temple site now represented only by a Mound and a Statue of Surya,Pareshnath,,"Temple site now represented only by a Mound and a Statue of Surya, Pareshnath",,
Temple site of an old Jain Temple now represented only by a Mound with a Jain statue.,Pareshnath,,"Temple site of an old Jain Temple now represented only by a Mound with a Jain statue., Pareshnath",,
Image of Durga slaying Mahisasura under a tree,Sarengarh,,"Image of Durga slaying Mahisasura under a tree, Sarengarh",,
Temple site now represented only by a Mound,Sarengarh,,"Temple site now represented only by a Mound, Sarengarh",,
Temple site now represented only by a Mound with statues of Ganesh and Nandi on it.,Sarengarh,,"Temple site now represented only by a Mound with statues of Ganesh and Nandi on it., Sarengarh",,
Temple site now represented only by a Mound with an Image of Nandi on it.,Sarengarh,,"Temple site now represented only by a Mound with an Image of Nandi on it., Sarengarh",,
Rock Inscription of Chandra Varman,Susunia,,"Rock Inscription of Chandra Varman, Susunia",,
Temple of Radha Vinod commonly known as Joydev.,Joydeb-Kenduli,,"Temple of Radha Vinod commonly known as Joydev., Joydeb-Kenduli",,
Temple of Dharmaraj,Kubilashpur,,"Temple of Dharmaraj, Kubilashpur",,
Two Mounds,Bhadeswar,,"Two Mounds, Bhadeswar",,
Temple of Basuli and the mound together fourteen other temples near them containing the Linga images of Shiva,Nanoor,,"Temple of Basuli and the mound together fourteen other temples near them containing the Linga images of Shiva, Nanoor",,
Temple of Rasmancha (Damodar Temple),Suri,,"Temple of Rasmancha (Damodar Temple), Suri",,
Two Ancient Temple (Joint together),Baidyapur,,"Two Ancient Temple (Joint together), Baidyapur",,
Rudreswar Temple,Bamunara,,"Rudreswar Temple, Bamunara",,
Group of four Ancient Temples,Begunia,,"Group of four Ancient Temples, Begunia",,
"Tomb of Baharam Sakka, Sher Afghan and Nawab Qutabuddin",Burdwan,,"Tomb of Baharam Sakka, Sher Afghan and Nawab Qutabuddin, Burdwan",,
Stone Temple,Garui,,"Stone Temple, Garui",,
Temple of Ichai Ghosh,Gourangpur,,"Temple of Ichai Ghosh, Gourangpur",,
Ancient Site,Nadhia,,"Ancient Site, Nadhia",,
Jain Brick Temple known as Sat-Deul,Deulia,,"Jain Brick Temple known as Sat-Deul, Deulia",,
"Group of Temples (12 nos. Temples) 1 Bijoy Vaidyanath Temple 2 Giri Gobardhan Temple 3 Gopalji Temple, 4 Jaleswar Temple 5 Krishna Chandraji Temple 6 Lalji Temple, 7 Naba-Kailasha Temple 8 Pancharatna Temple 9 Pratapeswar Siva Temple in Rajbari Complex 10 Rameswar Temple, 11 Ratneswar Temple12 Rupeswar Temple",Kalna,,"Group of Temples (12 nos. Temples) 1 Bijoy Vaidyanath Temple 2 Giri Gobardhan Temple 3 Gopalji Temple, 4 Jaleswar Temple 5 Krishna Chandraji Temple 6 Lalji Temple, 7 Naba-Kailasha Temple 8 Pancharatna Temple 9 Pratapeswar Siva Temple in Rajbari Complex 10 Rameswar Temple, 11 Ratneswar Temple12 Rupeswar Temple, Kalna",,
Ancient Site and Remains of Panduk Rajar Dhipi,Panduk,,"Ancient Site and Remains of Panduk Rajar Dhipi, Panduk",,
Ancient Mound,Bharatpur,,"Ancient Mound, Bharatpur",,
Metcalfe Hall,Calcutta,,"Metcalfe Hall, Calcutta",,
CoochBehar Palace,CoochBehar,,"CoochBehar Palace, CoochBehar",,
Rajpath Site,Khalsa Gasanimari,,"Rajpath Site, Khalsa Gasanimari",,
Tomb of Alexander-Csoma de Kores,Darjeeling,,"Tomb of Alexander-Csoma de Kores, Darjeeling",,
Tomb of General Llyod,Darjeeling,,"Tomb of General Llyod, Darjeeling",,
Mounds,Bangarh (Ganga rampur),,"Mounds, Bangarh (Ganga rampur)",,
Dargah of Shah Ata,Ganga rampur,,"Dargah of Shah Ata, Ganga rampur",,
Haneswari and Basudev Temples,Bansberia,,"Haneswari and Basudev Temples, Bansberia",,
Dutch Cemetery together with all tombs & monuments contained therein,Chinsurah,,"Dutch Cemetery together with all tombs & monuments contained therein, Chinsurah",,
Dutch Memorial monument of Susan Anna Maria,Chinsurah,,"Dutch Memorial monument of Susan Anna Maria, Chinsurah",,
Group of temples known as Brindaban Chandra's Math,Guptipara,,"Group of temples known as Brindaban Chandra's Math, Guptipara",,
Mounds,Mahanad,,"Mounds, Mahanad",,
Minar,Pandua,,"Minar, Pandua",,
Mosque,Pandua,,"Mosque, Pandua",,
Mosque & Tombs,Satgaon,,"Mosque & Tombs, Satgaon",,
"i) Danish Cemetery, ii) All ancient structures, all tombs stone monument remains and inscriptions within the area enclosed by the said walls.",Serampore,,"i) Danish Cemetery, ii) All ancient structures, all tombs stone monument remains and inscriptions within the area enclosed by the said walls., Serampore",,
Shrine and Mosque known as Dargah of Zafar Khan Gazi,Tribeni,,"Shrine and Mosque known as Dargah of Zafar Khan Gazi, Tribeni",,
Sri Mayer Ghat,Howrah,,"Sri Mayer Ghat, Howrah",,
Adina Mosque,Pandua (Adina),,"Adina Mosque, Pandua (Adina)",,
Baisgazi Wall,Gaur,,"Baisgazi Wall, Gaur",,
Baraduary Masjid or the Great Golden Mosque,Gaur,,"Baraduary Masjid or the Great Golden Mosque, Gaur",,
Bhita of Chand Sadagar,Gaur,,"Bhita of Chand Sadagar, Gaur",,
Chamkatti Masjid,Gaur,,"Chamkatti Masjid, Gaur",,
Chika Masjid,Gaur,,"Chika Masjid, Gaur",,
Dakhil Masjid,Gaur,,"Dakhil Masjid, Gaur",,
Firoz Minar,Gaur,,"Firoz Minar, Gaur",,
Gumti Gateway,Gaur,,"Gumti Gateway, Gaur",,
Gunamant Mosque,Gaur,,"Gunamant Mosque, Gaur",,
Kotwali Darwaja,Gaur,,"Kotwali Darwaja, Gaur",,
Lottan Masjid,Gaur,,"Lottan Masjid, Gaur",,
Lukochori Gateway,Gaur,,"Lukochori Gateway, Gaur",,
Qadam Rasul Mosque,Gaur,,"Qadam Rasul Mosque, Gaur",,
Tomb of Fateh Khan,Gaur,,"Tomb of Fateh Khan, Gaur",,
Tantipara Masjid,Gaur,,"Tantipara Masjid, Gaur",,
Two tombs in front of Tantipura Masjid,Gaur,,"Two tombs in front of Tantipura Masjid, Gaur",,
Two Stone Pillars,Gaur,,"Two Stone Pillars, Gaur",,
Tower,Nimasarai,,"Tower, Nimasarai",,
Eklakhi Mausoleum,Pandua,,"Eklakhi Mausoleum, Pandua",,
Qutab Sahi Masjid,Pandua,,"Qutab Sahi Masjid, Pandua",,
Kurumbera Fort,Gaganeswar,,"Kurumbera Fort, Gaganeswar",,
John Pierce Tomb,Midnapore,,"John Pierce Tomb, Midnapore",,
Tomb of Azimunnisha Begum daughter of Murshid Quli Khan,Azimnagar,,"Tomb of Azimunnisha Begum daughter of Murshid Quli Khan, Azimnagar",,
Residency Cemetery also known as Station Burial ground,Babulbona Beharampore,,"Residency Cemetery also known as Station Burial ground, Babulbona Beharampore",,
Bhabaniswar Mandir,Baranagar,,"Bhabaniswar Mandir, Baranagar",,
Char Bangla Group of Four Siva Temples,Baranagar,,"Char Bangla Group of Four Siva Temples, Baranagar",,
Tomb of Mirmardan,Faridpur,,"Tomb of Mirmardan, Faridpur",,
Dutch Cemetery,Kalikapur,,"Dutch Cemetery, Kalikapur",,
Old English Cemetary or Old Residence Burial Ground,Kashim Bazar,,"Old English Cemetary or Old Residence Burial Ground, Kashim Bazar",,
Mosque,Kheraul,,"Mosque, Kheraul",,
Tomb of Alivardi Khan & the tomb of Siraj-ud-daullah,Khosbag,,"Tomb of Alivardi Khan & the tomb of Siraj-ud-daullah, Khosbag",,
Mound known as Barkona Deul Mound,Panchthupi,,"Mound known as Barkona Deul Mound, Panchthupi",,
Mounds known as the Devil's Mound and Raja Karna's Palace,Rangamati,,"Mounds known as the Devil's Mound and Raja Karna's Palace, Rangamati",,
Tomb of Sujauddin,Roshnibag,,"Tomb of Sujauddin, Roshnibag",,
Tomb & Mosque of Murhsid Kuli Khan,Sabjikatra,,"Tomb & Mosque of Murhsid Kuli Khan, Sabjikatra",,
Jahan Kosa Gun,Topkhana,,"Jahan Kosa Gun, Topkhana",,
Hazarduari Palace & Imambara (Murshidabad),Killa Nizamat,,"Hazarduari Palace & Imambara (Murshidabad), Killa Nizamat",,
Motijhil Masjid,Murshidabad,,"Motijhil Masjid, Murshidabad",,
Mound known as Bahanpukur Mound or Fort,Bamanpukur,,"Mound known as Bahanpukur Mound or Fort, Bamanpukur",,
Ruins of Fort,Bamanpukur,,"Ruins of Fort, Bamanpukur",,
Temple,Palpara,,"Temple, Palpara",,
Old Temple at Banda,Banda,,"Old Temple at Banda, Banda",,
Chandraketu's Fort,Berachampa,,"Chandraketu's Fort, Berachampa",,
Ancient Mound known as Barah Mihirer Dhipi also known as Khana Mihirer Dhibi,Deulia & Kaukipara,,"Ancient Mound known as Barah Mihirer Dhipi also known as Khana Mihirer Dhibi, Deulia & Kaukipara",,
Jattar Deul,Jata,,"Jattar Deul, Jata",,
Currency Building,Dalhousie Square,,"Currency Building, Dalhousie Square",,
Asiatic Society Building,Park Street,,"Asiatic Society Building, Park Street",22.5549391,88.3510906
Maghen David Synagogue,Ward No. 45,,"Maghen David Synagogue, Ward No. 45",,
Beth-el-Synagogue,Pollock Street,,"Beth-el-Synagogue, Pollock Street",22.5757317,88.3522526
St. Johns Church,Kolkata,,"St. Johns Church, Kolkata",,
Dupleix Palace(Institute de Chandan Nagar),Chandan Nagar,,"Dupleix Palace(Institute de Chandan Nagar), Chandan Nagar",,
"South Gate, Kella Nezamat",Lalbag,,"South Gate, Kella Nezamat, Lalbag",,
"Immambara, Kella Nezamat",Lalbag,,"Immambara, Kella Nezamat, Lalbag",,
"White Mosque, Kella Nezamat",Lalbag,,"White Mosque, Kella Nezamat, Lalbag",,
"Yellow Mosque, Kella Nezamat",Lalbag,,"Yellow Mosque, Kella Nezamat, Lalbag",,
"Tripolia Gate, Kella Nizamat",Lalbag,,"Tripolia Gate, Kella Nizamat, Lalbag",,
"Dharmaraj Temple, West Bengal",Pathra,,"Dharmaraj Temple, West Bengal, Pathra",,
"Temples of Bandyopadhyay Family, West Bengal",Pathra,,"Temples of Bandyopadhyay Family, West Bengal, Pathra",,
"Sitala Temples, West Bengal",Pathra,,"Sitala Temples, West Bengal, Pathra",,
"Navratna Temple Complex , West Bengal",Pathra,,"Navratna Temple Complex , West Bengal, Pathra",,
"Tamluk Rajbati, West Bengal","Padumbasan, Tamluk",,"Tamluk Rajbati, West Bengal, Padumbasan, Tamluk",,
Clives House Dum Dum known as Barakothi,"DUM DUM, P.O. Nagar Bazar,",,"Clives House Dum Dum known as Barakothi, DUM DUM, P.O. Nagar Bazar,",,
26 Siva Temples,Barrakpore- Khardah,,"26 Siva Temples, Barrakpore- Khardah",,
Nil Kuthi Mound,"Mouza Chak ,Chandpara",,"Nil Kuthi Mound, Mouza Chak ,Chandpara",,
Warren Hastings House,Barasat,,"Warren Hastings House, Barasat",,
Golkonda Fort,,Andhra Pradesh ,"Golkonda Fort, Andhra Pradesh ",,
Sri Suryapahar Ruins,,Assam,"Sri Suryapahar Ruins, Assam",,
Rock-cut Caves,,Assam,"Rock-cut Caves, Assam",,
Cachari Ruins,,Assam,"Cachari Ruins, Assam",24.9347978,92.9312408
" Kedar Temple, Hajo",,Assam," Kedar Temple, Hajo, Assam",,
"Ganesh Temple, Hajo",,Assam,"Ganesh Temple, Hajo, Assam",,
Sher Shah Tomb,,Bihar ,"Sher Shah Tomb, Bihar ",24.9480636,84.0092749
